sim_time, iris/rotor_0?world_angular_velocity/z
1079.31, 65.1414
1079.31, 65.1775
1079.32, 65.1614
1079.32, 65.1342
1079.32, 65.0988
1079.33, 65.0664
1079.33, 65.0373
1079.34, 65.0191
1079.34, 64.9945
1079.34, 64.964
1079.35, 64.9398
1079.35, 65.0065
1079.36, 65.0738
1079.36, 65.125
1079.36, 65.1515
1079.37, 65.1809
1079.37, 65.1941
1079.38, 65.1874
1079.38, 65.1593
1079.38, 65.1277
1079.39, 65.111
1079.39, 65.0812
1079.4, 65.0544
1079.4, 65.0378
1079.4, 65.0362
1079.41, 65.1464
1079.41, 65.2033
1079.42, 65.219
1079.42, 65.2313
1079.42, 65.2725
1079.43, 65.2859
1079.43, 65.3123
1079.44, 65.3367
1079.44, 65.338
1079.44, 65.3209
1079.45, 65.2694
1079.45, 65.2251
1079.46, 65.173
1079.46, 65.1169
1079.46, 65.1302
1079.47, 65.1367
1079.47, 65.136
1079.48, 65.1381
1079.48, 65.1126
1079.48, 65.0985
1079.49, 65.1078
1079.49, 65.1202
1079.5, 65.1165
1079.5, 65.109
1079.5, 65.0809
1079.51, 65.0778
1079.51, 65.0911
1079.52, 65.0714
1079.52, 65.0966
1079.52, 65.1152
1079.53, 65.1781
1079.53, 65.249
1079.54, 65.2465
1079.54, 65.2436
1079.54, 65.2422
1079.55, 65.2497
1079.55, 65.271
1079.56, 65.2649
1079.56, 65.2407
1079.56, 65.2006
1079.57, 65.1599
1079.57, 65.1392
1079.58, 65.1441
1079.58, 65.1932
1079.58, 65.1861
1079.59, 65.1801
1079.59, 65.175
1079.6, 65.2102
1079.6, 65.2521
1079.6, 65.2522
1079.61, 65.2229
1079.61, 65.1757
1079.62, 65.1609
1079.62, 65.176
1079.62, 65.1709
1079.63, 65.2044
1079.63, 65.2461
1079.64, 65.2726
1079.64, 65.2629
1079.64, 65.2474
1079.65, 65.2652
1079.65, 65.2625
1079.66, 65.2566
1079.66, 65.2508
1079.66, 65.2513
1079.67, 65.2507
1079.67, 65.201
1079.68, 65.1305
1079.68, 65.0807
1079.68, 65.0706
1079.69, 65.1469
1079.69, 65.2047
1079.7, 65.2198
1079.7, 65.2031
1079.7, 65.1806
1079.71, 65.1397
1079.71, 65.1229
1079.72, 65.114
1079.72, 65.1157
1079.72, 65.1533
1079.73, 65.1394
1079.73, 65.1178
1079.74, 65.0971
1079.74, 65.0648
1079.74, 65.0168
1079.75, 64.9484
1079.75, 64.9085
1079.76, 64.9098
1079.76, 65.0023
1079.76, 65.0401
1079.77, 65.0444
1079.77, 65.0431
1079.78, 65.0366
1079.78, 65.0458
1079.78, 65.0802
1079.79, 65.1181
1079.79, 65.1197
1079.8, 65.1322
1079.8, 65.1297
1079.8, 65.1096
1079.81, 65.0885
1079.81, 65.0875
1079.82, 65.1242
1079.82, 65.1658
1079.82, 65.212
1079.83, 65.2419
1079.83, 65.2745
1079.84, 65.2182
1079.84, 65.1594
1079.84, 65.1531
1079.85, 65.156
1079.85, 65.1605
1079.86, 65.1887
1079.86, 65.2148
1079.86, 65.204
1079.87, 65.2084
1079.87, 65.2067
1079.88, 65.1946
1079.88, 65.1621
1079.88, 65.1051
1079.89, 65.071
1079.89, 65.0485
1079.9, 65.0513
1079.9, 65.1413
1079.9, 65.1844
1079.91, 65.1975
1079.91, 65.2087
1079.92, 65.2324
1079.92, 65.2743
1079.92, 65.2602
1079.93, 65.2218
1079.93, 65.1811
1079.94, 65.1365
1079.94, 65.0912
1079.94, 65.0705
1079.95, 65.0834
1079.95, 65.1089
1079.96, 65.1914
1079.96, 65.2268
1079.96, 65.2466
1079.97, 65.2329
1079.97, 65.2204
1079.98, 65.2114
1079.98, 65.2017
1079.98, 65.2045
1079.99, 65.2407
1079.99, 65.2453
1080, 65.2005
1080, 65.1488
1080, 65.1088
1080.01, 65.1799
1080.01, 65.2291
1080.02, 65.2486
1080.02, 65.2624
1080.02, 65.2956
1080.03, 65.3241
1080.03, 65.3087
1080.04, 65.287
1080.04, 65.2787
1080.04, 65.2845
1080.05, 65.2786
1080.05, 65.2367
1080.06, 65.1865
1080.06, 65.1389
1080.06, 65.1024
1080.07, 65.1346
1080.07, 65.1433
1080.08, 65.1426
1080.08, 65.1522
1080.08, 65.1334
1080.09, 65.1153
1080.09, 65.1089
1080.1, 65.1044
1080.1, 65.0992
1080.1, 65.0886
1080.11, 65.0508
1080.11, 65.0055
1080.12, 64.9518
1080.12, 64.9086
1080.12, 64.8708
1080.13, 64.882
1080.13, 64.8909
1080.14, 64.94
1080.14, 65.0198
1080.14, 65.0957
1080.15, 65.0747
1080.15, 65.0613
1080.16, 65.0636
1080.16, 65.0433
1080.16, 65.0175
